150.26,150.25,ETH-USDT,ETH-USDT,150.27,150.26,150.25,152.77,154.26,146.11,444717.78,2019-11-23T21:32:55.087Z,66751163.04
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.26,150.25,ETH-USDT,ETH-USDT,150.27,150.26,150.25,152.77,154.26,146.11,444717.78,2019-11-23T21:32:55.087Z,66751163.04
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.26,150.25,ETH-USDT,ETH-USDT,150.25,150.26,150.25,152.81,154.26,146.11,444717.78,2019-11-23T21:33:00.632Z,66751163.04
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.26,150.25,ETH-USDT,ETH-USDT,150.25,150.26,150.25,152.81,154.26,146.11,444717.78,2019-11-23T21:33:00.632Z,66751163.04
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.26,150.25,ETH-USDT,ETH-USDT,150.25,150.26,150.25,152.81,154.26,146.11,444717.78,2019-11-23T21:33:00.632Z,66751163.04
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.26,150.25,ETH-USDT,ETH-USDT,150.25,150.26,150.25,152.81,154.26,146.11,444717.78,2019-11-23T21:33:00.632Z,66751163.04
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.26,150.25,ETH-USDT,ETH-USDT,150.25,150.26,150.25,152.81,154.26,146.11,444717.78,2019-11-23T21:33:00.632Z,66751163.04
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.26,150.25,ETH-USDT,ETH-USDT,150.25,150.26,150.25,152.81,154.26,146.11,444711.07,2019-11-23T21:33:12.306Z,66750101.7
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.26,150.25,ETH-USDT,ETH-USDT,150.25,150.26,150.25,152.81,154.26,146.11,444711.07,2019-11-23T21:33:12.306Z,66750101.7
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.26,150.25,ETH-USDT,ETH-USDT,150.25,150.26,150.25,152.81,154.26,146.11,444711.07,2019-11-23T21:33:12.306Z,66750101.7
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.26,150.25,ETH-USDT,ETH-USDT,150.26,150.26,150.25,152.81,154.26,146.11,444711.07,2019-11-23T21:33:19.354Z,66750101.7
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.33,150.32,ETH-USDT,ETH-USDT,150.32,150.33,150.32,152.81,154.26,146.11,444711.07,2019-11-23T21:33:20.880Z,66750101.7
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.33,150.32,ETH-USDT,ETH-USDT,150.32,150.33,150.32,152.81,154.26,146.11,444711.07,2019-11-23T21:33:20.880Z,66750101.7
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.33,150.32,ETH-USDT,ETH-USDT,150.32,150.33,150.32,152.81,154.26,146.11,444711.07,2019-11-23T21:33:20.880Z,66750101.7
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.33,150.32,ETH-USDT,ETH-USDT,150.32,150.33,150.32,152.81,154.26,146.11,444711.07,2019-11-23T21:33:20.880Z,66750101.7
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.33,150.32,ETH-USDT,ETH-USDT,150.32,150.33,150.32,152.81,154.26,146.11,444711.07,2019-11-23T21:33:20.880Z,66750101.7
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.33,150.32,ETH-USDT,ETH-USDT,150.32,150.33,150.32,152.81,154.26,146.11,444711.07,2019-11-23T21:33:20.880Z,66750101.7
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.33,150.32,ETH-USDT,ETH-USDT,150.32,150.33,150.32,152.81,154.26,146.11,444711.07,2019-11-23T21:33:20.880Z,66750101.7
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.33,150.32,ETH-USDT,ETH-USDT,150.32,150.33,150.32,152.81,154.26,146.11,444711.07,2019-11-23T21:33:20.880Z,66750101.7
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.33,150.32,ETH-USDT,ETH-USDT,150.32,150.33,150.32,152.81,154.26,146.11,444711.07,2019-11-23T21:33:20.880Z,66750101.7
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.33,150.32,ETH-USDT,ETH-USDT,150.32,150.33,150.32,152.81,154.26,146.11,444711.07,2019-11-23T21:33:20.880Z,66750101.7
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.33,150.32,ETH-USDT,ETH-USDT,150.32,150.33,150.32,152.81,154.26,146.11,444711.07,2019-11-23T21:33:20.880Z,66750101.7
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.33,150.32,ETH-USDT,ETH-USDT,150.32,150.33,150.32,152.81,154.26,146.11,444772.65,2019-11-23T21:33:45.840Z,66759110.81
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.33,150.32,ETH-USDT,ETH-USDT,150.32,150.33,150.32,152.81,154.26,146.11,444772.65,2019-11-23T21:33:45.840Z,66759110.81
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.33,150.32,ETH-USDT,ETH-USDT,150.32,150.33,150.32,152.81,154.26,146.11,444772.65,2019-11-23T21:33:45.840Z,66759110.81
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.33,150.32,ETH-USDT,ETH-USDT,150.32,150.33,150.32,152.81,154.26,146.11,444772.65,2019-11-23T21:33:45.840Z,66759110.81
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.33,150.32,ETH-USDT,ETH-USDT,150.32,150.33,150.32,152.81,154.26,146.11,444772.65,2019-11-23T21:33:45.840Z,66759110.81
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.33,150.32,ETH-USDT,ETH-USDT,150.32,150.33,150.32,152.81,154.26,146.11,444772.65,2019-11-23T21:33:45.840Z,66759110.81
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.33,150.32,ETH-USDT,ETH-USDT,150.32,150.33,150.32,152.81,154.26,146.11,444772.65,2019-11-23T21:33:45.840Z,66759110.81
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.33,150.32,ETH-USDT,ETH-USDT,150.32,150.33,150.32,152.81,154.26,146.11,444772.65,2019-11-23T21:33:45.840Z,66759110.81
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.33,150.32,ETH-USDT,ETH-USDT,150.32,150.33,150.32,152.81,154.26,146.11,444772.65,2019-11-23T21:33:45.840Z,66759110.81
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.33,150.32,ETH-USDT,ETH-USDT,150.32,150.33,150.32,152.81,154.26,146.11,444772.65,2019-11-23T21:33:45.840Z,66759110.81
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.31,150.3,ETH-USDT,ETH-USDT,150.32,150.31,150.3,152.7,154.26,146.11,444772.65,2019-11-23T21:34:06.957Z,66759110.81
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.31,150.3,ETH-USDT,ETH-USDT,150.32,150.31,150.3,152.7,154.26,146.11,444772.65,2019-11-23T21:34:06.957Z,66759110.81
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.31,150.3,ETH-USDT,ETH-USDT,150.32,150.31,150.3,152.7,154.26,146.11,444772.65,2019-11-23T21:34:06.957Z,66759110.81
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.31,150.3,ETH-USDT,ETH-USDT,150.32,150.31,150.3,152.7,154.26,146.11,444772.65,2019-11-23T21:34:06.957Z,66759110.81
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.31,150.3,ETH-USDT,ETH-USDT,150.32,150.31,150.3,152.7,154.26,146.11,444772.65,2019-11-23T21:34:06.957Z,66759110.81
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.31,150.3,ETH-USDT,ETH-USDT,150.32,150.31,150.3,152.7,154.26,146.11,444772.65,2019-11-23T21:34:06.957Z,66759110.81
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.31,150.3,ETH-USDT,ETH-USDT,150.32,150.31,150.3,152.7,154.26,146.11,444747.21,2019-11-23T21:34:20.198Z,66755222.86
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.36,150.3,ETH-USDT,ETH-USDT,150.31,150.36,150.3,152.7,154.26,146.11,444747.21,2019-11-23T21:34:24.235Z,66755222.86
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.4,150.39,ETH-USDT,ETH-USDT,150.35,150.4,150.39,152.7,154.26,146.11,444747.21,2019-11-23T21:34:25.768Z,66755222.86
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.4,150.39,ETH-USDT,ETH-USDT,150.35,150.4,150.39,152.7,154.26,146.11,444747.21,2019-11-23T21:34:25.768Z,66755222.86
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.37,150.36,ETH-USDT,ETH-USDT,150.39,150.37,150.36,152.7,154.26,146.11,444747.21,2019-11-23T21:34:31.348Z,66755222.86
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.37,150.36,ETH-USDT,ETH-USDT,150.39,150.37,150.36,152.7,154.26,146.11,444747.21,2019-11-23T21:34:31.348Z,66755222.86
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.37,150.36,ETH-USDT,ETH-USDT,150.39,150.37,150.36,152.7,154.26,146.11,444747.21,2019-11-23T21:34:31.348Z,66755222.86
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.37,150.36,ETH-USDT,ETH-USDT,150.39,150.37,150.36,152.7,154.26,146.11,444747.21,2019-11-23T21:34:31.348Z,66755222.86
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.37,150.36,ETH-USDT,ETH-USDT,150.39,150.37,150.36,152.7,154.26,146.11,444747.21,2019-11-23T21:34:31.348Z,66755222.86
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.37,150.36,ETH-USDT,ETH-USDT,150.39,150.37,150.36,152.7,154.26,146.11,444747.21,2019-11-23T21:34:31.348Z,66755222.86
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
150.34,150.33,ETH-USDT,ETH-USDT,150.35,150.34,150.33,152.7,154.26,146.11,444747.21,2019-11-23T21:34:46.534Z,66755222.86
best_ask,best_bid,instrument_id,product_id,last,ask,bid,open_24h,high_24h,low_24h,base_volume_24h,timestamp,quote_volume_24h
